REVIEW_PANEL,MEDICALSPECIALTY,PRODUCTCODE,DEVICENAME,DEVICECLASS,UNCLASSIFIED_REASON,GMPEXEMPTFLAG,THIRDPARTYFLAG,REVIEWCODE,REGULATIONNUMBER,SUBMISSION_TYPE_ID,SUBMISSION_TYPE,DEFINITION,PHYSICALSTATE,TECHNICALMETHOD,TARGETAREA,Implant_Flag,Life_Sustain_support_flag,SummaryMalfunctionReporting
PA,Pathology,PSY,Whole Slide Imaging System,2,IDE,N,N,,864.3700,1,510(K),"The whole slide imaging system is an automated digital slide creation, viewing, and management system intended as an aid to the pathologist to review and interpret digital images of surgical pathology slides prepared from formalin-fixed, paraffin-embedded (FFPE) tissue. The system generates digital images that would otherwise be appropriate for manual visualization by conventional brightfield microscopy. The whole slide imaging system is not intended for use with slides prepared from frozen tissue, cytology, and non-FFPE hematopathology specimens (e.g., peripheral blood smear).","The whole slide imaging system consists of an image management system, a scanner and associated software, and a display monitor.    The whole slide imaging system does not include any automated Image Analysis Applications that would constitute computer aided detection or diagnosis.","The whole slide imaging system consists of an image management system, a scanner and associated software, and a display monitor. Pathologists view and interpret scanned digital images, employing appropriate processes to ensure the validity of the interpretation. The system may include web-based applications.","Surgical pathology slides prepared from formalin-fixed, paraffin-embedded (FFPE) tissue     Not for use with slides prepared from frozen tissue, cytology, and non-FFPE hematopathology specimens.",N,N,Eligible
RA,Radiology,PDK,Cream For X-Ray Attenuation,2,IDE,N,Y,,892.6510,1,510(K),"The x-ray attenuating cream is intended for use as a radiation shield. It is intended to be applied to the user's hand before donning gloves, or it may be applied on a gloved hand, followed by donning a second glove. The X-ray attenuating cream is intended to be used during medical procedures where its necessary for hands to be exposed to radiation to offer some degree of protection from radiation exposure.",X-ray attenuating cream,"The device consists of a non-toxic, non-heavy metal, radiation absorbing material in a formulated base. Radiation is blocked by the device via absorption of the photon energy from ionizing radiation. This photon energy is dissipated as phonon energy within the atomic lattice structure of the radiation absorbing material.",Healthcare Professional's hands,N,N,Eligible
IM,Immunology,PHF,Zinc Transporter 8 Auto-Antibody,2,IDE,N,Y,,866.5670,1,510(K),The Zinc Transporter 8 Autoantibody (ZnT8Ab) ELISA Assay is for the semi-quantitative determination of autoantibodies to Zinc Transporter 8 (ZnT8) in human serum. The Zinc Transporter 8 Autoantibody (ZnT8Ab) ELISA Assay may be useful as an aid in the diagnosis of Type 1 diabetes mellitus (autoimmune mediated diabetes). The ZnT8Ab assay is not to be used alone and is to be used in conjunction with other clinical and laboratory findings.,Assay Kit includes strip wells coated with ZnT8; 4 level calibrators; positive and negative controls; Zinc biotin; buffer; streptavidin peroxide; diluent; peroxide substrate; wash solution; stop solution,ELISA Assay,Serum (blood) sample,N,N,Eligible
OP,Ophthalmic,ORZ,Eyelid Thermal Pulsation System,2,IDE,N,N,,886.5200,1,510(K),Therapeutic application of heat and massage to the eyelids.,"Comprised of two components, a single-use disposable unit made of biocompatible polycarbonate and silicone that is inserted around the patient's eyelids, and a handheld control system, which connects to the single-use disposable unit","Battery-operated, handheld device that the physician uses in an in-office procedure to control the application of warmth and massage to the eyelids. The handheld device connects to a single-use disposable unit made of biocompatible polycarbonate and silicone that is inserted around the patient's eyelids. The device provides controlled warmth to the inner eyelid surface, close to the location of the meibomian glands, and intermittent massage to the outer eyelid surface to facilitate release of lipid from the cystic meibomian glands.",eyelids,N,N,Eligible
SU,General & Plastic Surgery,OEK,"Water-Induced Thermotherapy System, Benign Prostatic Hyperplasia",2,IDE,N,N,,876.4300,1,510(K),Thermotherapy and dilation of prostatic tissue for the treatment of benign prostatic hyperplasia,The device consists primarily of a water heating unit and an applicator.  The applicator is a catheter-like device inserted into the urethra.  The dilation balloon and the heat conductive area of the applicator are positioned in the prostatic urethra.,The prostate is heated by means of hot water passed through an applicator and dilated by a balloon.  Radio frequency energy is applied to the prostate using electrodes.  Conductive heating and dilation of the prostatic urethra produces relief of symptoms of BPH.,Prostate,N,N,Eligible
CV,Cardiovascular,OMR,Vessel Guard Or Cover,2,IDE,N,N,,870.3470,1,510(K),"These device types do not include devices whose primary purpose is to minimize the incidence or severity of adhesion formation as a result of vascular surgery.  Intended to protect vessels from injury during surgery (not to be confused with wraps, patches or covers intended to facilitate revision surgeries).  Indicated to wrap, patch, or cover intended to cover blood vessels.",a 2-dimensional material,"The material is cut to size, then laid over a blood vessel and sutured/tacked into nearby tissue to keep it from migrating","over a blood vessel, typically the aorta during anterior vertebral surgery",Y,N,Eligible
CV,Cardiovascular,NKE,"Pulse Generator, Pacemaker, Implantable, With Cardiac Resynchronization (Crt-P)",3,For Export Only,N,N,,,2,PMA,"These devices are indicated for patients who have moderate to severe heart failure. These new devices use an additional lead to provide synchronized pacing of the heart, in addition to the regular features of a pacemaker. These products are sought for the treatment of patients who have moderate to severe heart failure.","These devices are indicated for patients who have moderate to severe heart failure. These new devices use an additional lead to provide synchronized pacing of the heart, in addition to the regular features of a pacemaker. These products are sought for the treatment of patients who have moderate to severe heart failure.","These devices are indicated for patients who have moderate to severe heart failure. These new devices use an additional lead to provide synchronized pacing of the heart, in addition to the regular features of a pacemaker. These products are sought for the treatment of patients who have moderate to severe heart failure.","These devices are indicated for patients who have moderate to severe heart failure. These new devices use an additional lead to provide synchronized pacing of the heart, in addition to the regular features of a pacemaker. These products are sought for the treatment of patients who have moderate to severe heart failure.",Y,Y,Ineligible
GU,Gastroenterology & Urology,PSX,Chlorine Meter,2,IDE,N,N,,876.5665,1,510(K),These devices are intended to measure chlorine levels in water.,"An automated or manual sampling system, which can measure chlorine levels in water. Typically used as a component of hemodialysis or water treatment systems but not able to treat or alter the water used in dialysate.",Measurement of chlorine levels (free chlorine and/or chloramines) based on a chemical reaction correlation.,Not used in the body: Used in hospitals and hemodialysis clinics and homes equipped with a water treatment system.,N,Y,Ineligible
CV,Cardiovascular,NPU,"Prosthesis, Mitral Valve, Percutaneously Delivered",3,For Export Only,N,N,,,2,PMA,These devices are intended to replace a patient's mitral heart valve.  They are different from the classified device (heart valves) in that they are placed percutaniously and do not require open chest surgery or a cardiotomy for placement.,,,,Y,Y,Eligible
CV,Cardiovascular,NPV,Pulmonary Valve Prosthesis Percutaneously Delivered,f,,N,N,,,2,PMA,These devices are intended to replace a patient's pulmonary heart valve.  They are different from the classified device (heart valves) in that they are placed percutaneously and do not require open chest surgery or a cardiotomy for placement.,,,,Y,Y,Eligible
CV,Cardiovascular,LWP,"Implantable Pulse Generator, Pacemaker (Non-Crt)",3,For Export Only,N,N,,,2,PMA,These devices treat bradycardia (slow heartbeats) with RA and/or RV pacing therapy as necessary.,These devices treat bradycardia (slow heartbeats) with RA and/or RV pacing therapy as necessary.,These devices treat bradycardia (slow heartbeats) with RA and/or RV pacing therapy as necessary.,These devices treat bradycardia (slow heartbeats) with RA and/or RV pacing therapy as necessary.,Y,Y,Ineligible
